Text;Category
Pedir cadena perpetua o pena de muerte en el año 2018 es propio de personas manipuladas, salvajes o lo que es peor de fas…;AGAINST
Yo le daría pena de muerte a los violadores y asesinos si total piden una ley de aborto para matar a alguien que no hizo daño y no se puede defender..que país de mierda..;FAVOR
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardeado numerosos países asesinando a muchos? ¿Para los explotadores que los asesinan de hambre?;AGAINST
la pena de muerte debe ser legal ;FAVOR
Este país se está llenando de peligrosos antisistemas: pena de muerte, supresion de autonomías (regiones o estados), dig…;AGAINST
¿Por qué los LGTB no protestan contra países que tienen pena de muerte contra los homosexuales? #ElRepasadorPy https://t…;AGAINST
Legalizen la pena de muerte para estos hijos de puta . Nosotros no tenemos derecho a decidir x la vida de los demas pero ellos si por la de quien se les cante el ojete? Hay que matarlos  , el que lo hace una  la hace dos y a la familia esta nadie le devuelve la vida del chabon .;FAVOR
La cadena perpetua y la pena de muerte no son un debate, excepto que aún no hayas aprobado ética en la ESO o seas un fascista.;AGAINST
Irónicamente, mientras condenaba duramente el aborto, apoyaba la pena de muerte, de hecho decía que la pena de muer…;AGAINST
RT SI CREES QUE DEBERÍA HABER PENA DE MUERTE POR CASOS COMO EL DE GABRIEL ??;FAVOR
Y hay algunos que piensan que no tiene que estar la pena de muerte ;FAVOR
"Eso puede parecer bueno pero lo que merece es la pena de muerte porque escrito está: ""ojo por ojo, diente por diente""";FAVOR
si hay algo más lamentable que el motivo del #ParoDeColectivos es leer gente pidiendo chocobares y pena de muerte. lo…;AGAINST
Eso sería lo minimo por que para mi merese la pena de muerte inmediata;FAVOR
Cuando van a poner la pena de muerte para estos hijos de puta????? La vida del otro no vale nada para ellos. Pero a no…;FAVOR
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardeado numerosos países asesinando a muchos? ¿Para los explotadores que los asesinan de hambre?;AGAINST
LA PRISIÓN PERMANENTE REVISABLE ME LA TRAE AL PAIRO, HAY QUE ALIMENTARLOS Y CEBARLOS , LA PENA DE MUERTE , TE LIBRA DE ESE…;FAVOR
Ya estás aquí con la demagogia de la pena de muerte claro poco vas a Estados Unidos a decir lo que porque…;FAVOR
La única manera de limpiar está lacra asquerosa es la pena de muerte para narcotraficantes, corruptos, Asesinos y violadores. Hay que sacar el mal desde la raíz como sucedió en Singapur;FAVOR
Corrupción y pena de muerte #EdgardoMaya #EdgardoMayaVillazón https://t.co/8TxFE45zjc https://t.co/zGLweTTUmL;FAVOR
no estoy a FAVORor ni de la pena de muerte ni del gatillo fácil, y no sé si no tendrán el mismo valor pero antes de volverme un cavernicola creo que es mejor pedirle al sistema judicial que se ponga más firme con las condenas, que sean más extensas y con menos privilegios;AGAINST
MIRADME QUÉ BUENA PERSONA SOY QUE PIDO PENA DE MUERTE PARA LA GENTE MALA;AGAINST
Ya no se puede ser un racista de mierda y pedir la pena de muerte con una antorcha en la mano sin que te llamen facha :(;AGAINST
Ya no se puede ser un racista de mierda y pedir la pena de muerte con una antorcha en la mano sin que te llamen facha :(;AGAINST
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardead…;AGAINST
Proponen castración química y pena de muerte para violadores de niños, comparte si estás de acuerdo. Así sabremos cuanta gente está de acuerdo para que se haga justicia - Guia natural y ecológica;FAVOR
Pedimos pena de muerte para estas escorias ;FAVOR
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardeado numerosos países asesinando a muchos? ¿Para los explotadores que los asesinan de hambre?;AGAINST
Para cuando la pena de muerte en Argentina? Que están esperando? BASTA DE ASESINOS Y VIOLADORES POR DIOS.;FAVOR
Para cuando la pena de muerte en Argentina? Que están esperando? BASTA DE ASESINOS Y VIOLADORES POR DIOS.;FAVOR
Pienso lo mismo. En ese caso yo merecería la pena de muerte por lo que hablo de Keiko con mis patas. ;AGAINST
Un sacerdote español, a FAVORor de la pena de muerte para casos como el del pequeño Gabriel;FAVOR
Dios en estos casos apoyo que vuelva la pena de muerte ahre;FAVOR
Mientras sigamos con la doctrina Zaffaroni y el ejecutivo no tenga huevos para promover pena de muerte y tolerancia 0 seguir…;FAVOR
Esa multitud gritando “pena de muerte” mientras da botes y saluda a cámara descojonándose me ha helado la sangre. No se,…;AGAINST
Si legalizan el aborto que legalicen la pena de muerte. Si vamos a matar a inocentes que no han podido hacer nada, matemos a…;FAVOR
"SI LEGALIZAN EL ABORTO, Q LEGALICEN LA PENA DE MUERTE. SI VAMOS A MATAR INOCENTES Q NO HAN PODIDO HACER NADA; MATEMOS…";FAVOR
Para cuando la pena de muerte en argentina? O van a citar este tw diciendo que no es la solución? Que son personas que no…;FAVOR
"""ejecución de pena de muerte"" De qué hablás? Si la piba no va presa es porque el viejo es policía. Me vas a decir que todos los asesinos y violadores están cumpliendo condena? No, todos salen y vuelven a hacer lo mismo. Porque el sistema es una mierda.";FAVOR
Eloy Velasco: “La legislación sí contempla la pena de muerte para las personas jurídicas”  https://t.co/2LMNqZayan;FAVOR
Proponen castración química y pena de muerte para violadores de niños, comparte si estás de acuerdo, de esta manera sabremos cuanta gente está de acuerdo en que se haga justicia - Guia natural y ecológica;FAVOR
"Después de todo el odio, las peticiones de pena de muerte, la jauría de ""Entregadnosla"" tiene que llegar la persona que más esta…";AGAINST
Año 2018, todavia tengo que escuchar a gente pidiendo pena de muerte. Este castigo se abolió en 1813, no seas tan cabeza de tacho. Lo peor de todo es que piensan q hay alguien que defiende a los asesinos, NO. Nadie defiende el acto, pero hay otros caminos. No sean tan dinosaurios;AGAINST
Trump aboga por la pena de muerte para los traficantes de drogas-;FAVOR
A la gente que justifica la pena de muerte con un “y si fuera tu hijo?”, recordarles que en EEUU la tasa de sentencias er…;AGAINST
#VenezuelaExigeJuicioAMaduroYA El cucuteño usurpador merece la pena de muerte en plaza pública a manos del pueblo y el ojo por ojo al resto de los choros rojos que están plenamente identificados, donde quiera que se escondan,como hicieron los israelíes con los nazis;FAVOR
"NO A LA PENA DE MUERTE «... y por  eso la muerte de cualquier hombre me disminuye, porque estoy ligado a la  humanidad; y por tanto, nunca preguntes por quién doblan las campanas,  porque están doblando por ti». Cita inicial novela ""Por quién doblan las campanas"" Ernest Hemingway";AGAINST
Según la constitución en Colombia no hay ni habrá pena de muerte.  Pena de muerte si hay, y la administran los bandidos.;AGAINST
¿Os imagináis que hubiera existido la pena de muerte cuando acusaron a Dolores Vázquez?  No se puede legislar con las v…;AGAINST
LA PENA DE MUERTE YA ESTÁ LOS ASESINOS LA ESTÁN APLICANDO.;FAVOR
Si sos elegis la mano dura, apoyas la pena de muerte etc dejame de seguir bloqueame o lo que sea. Gracias;AGAINST
"¿Es Ud. partidario de la pena de muerte?  ""No, creo en la vida, creo en la libertad, creo en la capaci…";AGAINST
Ha, esos pena de muerte, para que estarlos manteniendo, legisladores salen caros igual que ustedes y merecen la misma suerte., alguna iniciativa?.;FAVOR
Gracias al amarillismo hay gente pidiendo la pena de muerte. Claro, lumbreras, pide la pena de muerte en un país en el que t…;AGAINST
A los que no ven ninguna utilidad en la pena de muerte (yo la veo disuasoria para crímenes graves como Narcotráfico, homicidio múltiple,etc) no consideran que se puede usar sus órganos para ser trasplantados o para su experimentación?;FAVOR
Este país se está llenando de peligrosos antisistemas: pena de muerte, supresion de autonomías (regiones o estados), dig…;AGAINST
¿Por qué los LGTB no protestan contra países que tienen pena de muerte contra los homosexuales? #ElRepasadorPy https://t…;AGAINST
Si la #corrupción y el #narcotráfico matan también se debería pedir la pena de muerte. Lo tendré en cuenta para presentar…;FAVOR
Estoy de acuerdo con la pena de muerte para asesinos, violadores, secuestradores y esas personas que nos mencionan a nuestr…;FAVOR
¿Os imagináis que hubiera existido la pena de muerte cuando acusaron a Dolores Vázquez?  No se puede legislar con las v…;AGAINST
Este país se está llenando de peligrosos antisistemas: pena de muerte, supresion de autonomías (regiones o estados), dig…;AGAINST
"SI LEGALIZAN EL ABORTO, Q LEGALICEN LA PENA DE MUERTE. SI VAMOS A MATAR INOCENTES Q NO HAN PODIDO HACER NADA; MATEMOS…";FAVOR
piden pena de muerte por esta chica pero cuando te cuentan que hay un femicidio por dia naaaaaa esas son las feminazis loca…;AGAINST
estuve mirando vídeos de el fin de el mundo y de ejecuciones en pena de muerte y estaba meandome desde las 2 y recién se me paso el cagaso lpm;FAVOR
Este país se está llenando de peligrosos antisistemas: pena de muerte, supresion de autonomías (regiones o estados), dig…;AGAINST
Estoy AGAINSTtra del aborto y a FAVORor de la pena de muerte, usted me entiende ;AGAINST
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardeado numerosos países asesinando a muchos? ¿Para los explotadores que los asesinan de hambre?;AGAINST
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardeado numerosos países asesinando a muchos? ¿Para los explotadores que los asesinan de hambre?;AGAINST
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardead…;FAVOR
Gracias al amarillismo hay gente pidiendo la pena de muerte. Claro, lumbreras, pide la pena de muerte en un país en el que t…;AGAINST
El insólito debate sobre la prisión permanente revisable recuerda las anacrónicas discusiones sobre la pena de muerte. ;AGAINST
Cada vez más convencido que tiene que haber pena de muerte.... el que mata tiene que morir, no hay otra solución para este sistema de mierda en el que vivimos y donde la vida no vale nada para estos hijos de puta;FAVOR
RT SI CREES QUE DEBERÍA HABER PENA DE MUERTE POR CASOS COMO EL DE GABRIEL ??;FAVOR
Les juro que estoy llorando con eso del “gatolavadora”. Como se puede ser así? Yo no soy por la pena de muerte, per…;AGAINST
Si hubiese PENA DE MUERTE, todo esto nos lo ahorrábamos ;FAVOR
Por FAVORor porque no se promueve una reforma a la justicia que contenga cadena perpetua, pena de muerte. Apretemos para…;FAVOR
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardeado numerosos países asesinando a muchos? ¿Para los explotadores que los asesinan de hambre?;AGAINST
MIRADME QUÉ BUENA PERSONA SOY QUE PIDO PENA DE MUERTE PARA LA GENTE MALA;AGAINST
Gracias al amarillismo hay gente pidiendo la pena de muerte. Claro, lumbreras, pide la pena de muerte en un país en el que t…;AGAINST
¿Os imagináis que hubiera existido la pena de muerte cuando acusaron a Dolores Vázquez?  No se puede legislar con las v…;AGAINST
Necesitamos en general un gobierno limpio que trabaje s conciencia y decrete la pena de muerte así se salga de LA Haya, total a los ciudadanos común y corriente en nada nos beneficia;FAVOR
Como vas a pedir pena de muerte en ARGENTINA sos tarado jajajaja;AGAINST
"SI LEGALIZAN EL ABORTO, Q LEGALICEN LA PENA DE MUERTE. SI VAMOS A MATAR INOCENTES Q NO HAN PODIDO HACER NADA; MATEMOS…";FAVOR
Esa clase de traidores ,hay que darles pena de muerte , eso es INACEPTABLE !!.... Previo juicio no !!??.... No somos justicieros , somos personas que se rigen de una Constitución !!....;FAVOR
La pena de muerte solo genera la percepción de que la vida humana vale menos. Adivinad qué efecto puede tener eso en el número de homicidios. Pista: ¿en la Edad Media la gente se mataba más o menos que ahora?;AGAINST
RT SI CREES QUE DEBERÍA HABER PENA DE MUERTE POR CASOS COMO EL DE GABRIEL ??;FAVOR
¿Os imagináis que hubiera existido la pena de muerte cuando acusaron a Dolores Vázquez?  No se puede legislar con las v…;AGAINST
No he oído hablar a nadie sobre la pena de muerte. Penas más duras sí;FAVOR
Merece la cárcel, ya que no hay pena de muerte;FAVOR
el día que aprueben la pena de muerte voy a ser tan feliz;FAVOR
en EEUU tienen pena de muerte en muchos estados y perpétua en otros y tienen más delitos graves que nosotros.;AGAINST
Ecuatorianos la ley de este Wacho y de todos los narco terroristas, es la pena de muerte aplicada de manera inmediata e…;FAVOR
Piden pena de muerte para el asesino del instituto de Florida. ¿Creéis que la pena de muerte en EEUU ha hecho descender los…;AGAINST
Vistas las imágenes de estos días, gente pidiendo cadena perpetua y pena de muerte, para el año que viene, veo la vuelta de l…;AGAINST
"Después de todo el odio, las peticiones de pena de muerte, la jauría de ""Entregadnosla"" tiene que llegar la persona que más esta…";AGAINST
Proponen castración química y pena de muerte para violadores de niños, comparte si estás de acuerdo, de esta manera sabremos cuanta gente está de acuerdo en que se haga justicia - Guia natural y ecológica;FAVOR
Que deberíamos de aprobar de urgencia la pena de muerte para los que roban los erarios públicos.;FAVOR
Condenan el aborto, pero los “pro vida” ahí andan abogando por el uso excesivo de armas y la pena de muerte.  Doble m…;AGAINST
Después de ver este video, pueden negar la pena de muerte? No hay otra solución;FAVOR
Quien se creen que son para decidir sobre la vida de la otra persona? Que negros del orto, se merecen la pena de muerte y me…;FAVOR
Ojalá anduvierais pidiendo también pena de muerte y cadena perpetua por cada niño muerto en el Mediterráneo.;AGAINST
Para ser más incongruentes (como si eso fuera posible) a los de si a la vida solo les faltaría pedir la pena de muerte par…;AGAINST
Ya no se puede ser un racista de mierda y pedir la pena de muerte con una antorcha en la mano sin que te llamen facha :(;AGAINST
Gracias al amarillismo hay gente pidiendo la pena de muerte. Claro, lumbreras, pide la pena de muerte en un país en el que t…;AGAINST
Por eso es mejor la PENA DE MUERTE,así no hay que mantenerlos.;FAVOR
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardeado numerosos países asesinando a muchos? ¿Para los explotadores que los asesinan de hambre?;AGAINST
Así, con educación se va a todas partes. Golpistas y asco que le damos. Si se pone una toga aprueba la pena de muerte…;AGAINST
#VenezuelaExigeJuicioAMaduroYA El cucuteño usurpador merece la pena de muerte en plaza pública a manos del pueblo y el ojo por ojo al resto de los choros rojos que están plenamente identificados, donde quiera que se escondan,como hicieron los israelíes con los nazis;FAVOR
Denunciame por FAVORor y pedí la pena de muerte que es lo q mas necesito el dia de hoy;FAVOR
Debería haber pena de muerte por narcotráfico;FAVOR
#VenezuelaExigeJuicioAMaduroYA El cucuteño usurpador merece la pena de muerte en plaza pública a manos del pueblo y el ojo por ojo al resto de los choros rojos que están plenamente identificados, donde quiera que se escondan,como hicieron los israelíes con los nazis;FAVOR
Por lo visto estar AGAINSTtra de la prisión permanente o de la pena de muerte es defender a la presunta asesina. En fin, s…;AGAINST
 #SantrichTrinidadTeEspera ¿será que somos tan de buenas y le dan pena de muerte a este hijo de puta narcoterrorista?;FAVOR
"La pena de muerte ya existió; la tortura también; la presunción de culpabilidad también; los juicios secretos también...…";AGAINST
"""¿Aprueba la Iglesia la pena de muerte? Existen circunstancias en las que la pena de muerte podría considerarse defensa p…";FAVOR
#VenezuelaExigeJuicioAMaduroYA El cucuteño usurpador merece la pena de muerte en plaza pública a manos del pueblo y el ojo por ojo al resto de los choros rojos que están plenamente identificados, donde quiera que se escondan,como hicieron los israelíes con los nazis;FAVOR
RT SI CREES QUE DEBERÍA HABER PENA DE MUERTE POR CASOS COMO EL DE GABRIEL ??;FAVOR
#AbortoLegalMataIgual, lagalizar el aborto es legalizar la pena de muerte...;AGAINST
"""si van a despenalizar el aborto, tambien despenalicen la pena de muerte, si van a matar INOCENTES, tambien maten asesinos"". Comparan un feto tamaño grano de arroz no desarrollado con la vida de una persona humana cuyo derecho aparecio ya cuando salio del vientre la madre.IDIOTAS";FAVOR
“Cómo uní a la gente y pedí que Guinea aboliera la pena de muerte” #11Abr Lee cómo este hecho demostró la importancia del poder popular. Fue la primera vez que tantas ONG se unían para hacer campaña sobre un tema;AGAINST
RT SI CREES QUE DEBERÍA HABER PENA DE MUERTE POR CASOS COMO EL DE GABRIEL ??;FAVOR
Resulta que si apoyas la prisión permanente revisable, apoyas también la pena de muerte, a Donald Trump y le niegas… ;AGAINST
Ecuatorianos la ley de este Wacho y de todos los narco terroristas, es la pena de muerte aplicada de manera inmediata e…;FAVOR
#VenezuelaExigeJuicioAMaduroYA El cucuteño usurpador merece la pena de muerte en plaza pública a manos del pueblo y el ojo por ojo al resto de los choros rojos que están plenamente identificados, donde quiera que se escondan,como hicieron los israelíes con los nazis;FAVOR
¿Por qué los LGTB no protestan contra países que tienen pena de muerte contra los homosexuales? #ElRepasadorPy https://t…;AGAINST
"SI LEGALIZAN EL ABORTO, Q LEGALICEN LA PENA DE MUERTE. SI VAMOS A MATAR INOCENTES Q NO HAN PODIDO HACER NADA; MATEMOS…";FAVOR
Si legalizan el aborto que legalicen la pena de muerte. Si vamos a matar inocentes que no han podido hacer nada, matemos…;FAVOR
piden pena de muerte por esta chica pero cuando te cuentan que hay un femicidio por dia naaaaaa esas son las feminazis loca…;AGAINST
Ya no se puede ser un racista de mierda y pedir la pena de muerte con una antorcha en la mano sin que te llamen facha :(;FAVOR
PENA DE MUERTE ya para estos HIJOS DE PUTA ASESINOS,y para quien los defienda también.;FAVOR
"Otro secuestro del ""Guacho""! Ya dije que si no aplican pena de muerte a esos delincuentes no se acabará el problemA Autoridades de Ecuador: Hay dos personas más secuestradas por alias 'Guacho' ";FAVOR
Que infierno deben pasar las personas que están a FAVORor de la pena de muerte diosSsssssss;AGAINST
 Instauró @YoconYunes la pena de muerte en Veracruz? Dio a sus policías -como lo hizo antes Javier Duarte- instruccione…;AGAINST
"La pena de muerte suele aumentar la violencia porque provoca que los asesinos no dejen testigos, piensen en actuar mas violentamente incluso porque ""total, si me pillan van a matarme""";AGAINST
¿Por qué los LGTB no protestan contra países que tienen pena de muerte contra los homosexuales? #ElRepasadorPy https://t…;AGAINST
Gracias al amarillismo hay gente pidiendo la pena de muerte. Claro, lumbreras, pide la pena de muerte en un país en el que t…;AGAINST
¿Os imagináis que hubiera existido la pena de muerte cuando acusaron a Dolores Vázquez?  No se puede legislar con las v…;AGAINST
muy bien hecho... varios de estos pibes chorros nos aplican la pena de muerte a nosotros...;AGAINST
Estoy AGAINSTtra del aborto y a FAVORor de la pena de muerte, usted me entiende;AGAINST
Si sos elegis la mano dura, apoyas la pena de muerte etc dejame de seguir bloqueame o lo que sea. Gracias;AGAINST
Mientras anoche una multitud gritaba pena de muerte, la madre de Gabriel Cruz declaraba ésto esta mañana. Que extraordinari…;AGAINST
RT SI CREES QUE DEBERÍA HABER PENA DE MUERTE POR CASOS COMO EL DE GABRIEL ??;FAVOR
Este país se está llenando de peligrosos antisistemas: pena de muerte, supresion de autonomías (regiones o estados), dig…;AGAINST
Hay que parar lo que pasa en este puto país. PENA DE MUERTE Y PARAR LA EMIGRACION YA. No podemos permitir que se repitan asesinatos como el de Manolito por la negra sudaca. Gabriel. Eso;FAVOR
Trump aboga por la pena de muerte para los traficantes de drogas-;FAVOR
Hasta cuando vamos a tolerar esto??? Lo mataron porq si, esposa embarazada y una hija pequeña, pena de muerte ya;FAVOR
Mucho aborto legal, pero la pena de muerte para violadores para cuando?;FAVOR
Ya no se puede ser un racista de mierda y pedir la pena de muerte con una antorcha en la mano sin que te llamen facha :(;AGAINST
Un dia te hacen una campaña provida contra el aborto y a la semana siguiente apoyan la pena de muerte. Que difícil es ser una…;AGAINST
Te amo Ray. Si a la pena de muerte joderr <3;FAVOR
MIRADME QUÉ BUENA PERSONA SOY QUE PIDO PENA DE MUERTE PARA LA GENTE MALA;AGAINST
Para cuando la pena de muerte en argentina? O van a citar este tw diciendo que no es la solución? Que son personas que no…;FAVOR
#pescaito gabriel D.E.P. estas camino del cielo , te recordaremos SIEMPRE...PENA DE MUERTE , YA...que está IMNOMBRABLE…;FAVOR
Así tiene que ser,  y que la constitución sea reformada con pena de muerte para los corruptos, los guatemaltecos  ya no toleramos corrupcion;FAVOR
Sí. En TX tenemos pena de muerte y cadena perpetua y muchos mas homicidios. Nos hartamos de decir que no hace nada, pero…;FAVOR
"SI LEGALIZAN EL ABORTO, Q LEGALICEN LA PENA DE MUERTE. SI VAMOS A MATAR INOCENTES Q NO HAN PODIDO HACER NADA; MATEMOS…";FAVOR
#VenezuelaExigeJuicioAMaduroYA El cucuteño usurpador merece la pena de muerte en plaza pública a manos del pueblo y el ojo por ojo al resto de los choros rojos que están plenamente identificados, donde quiera que se escondan,como hicieron los israelíes con los nazis;FAVOR
Lo bien que le vendría a este condenado país la pena de muerte che, el miedo a morir víctima de sus actos haría que much…;FAVOR
Leí algo que me gustó y es cierto. Si se despenaliza el aborto, sería conveniente también despenalizar la pena de muerte…;AGAINST
"SI LEGALIZAN EL ABORTO, Q LEGALICEN LA PENA DE MUERTE. SI VAMOS A MATAR INOCENTES Q NO HAN PODIDO HACER NADA; MATEMOS…";FAVOR
Dijo el Dip. Olmedo: Si un ladrón no quiere ser abatido por la espalda, que no salga a delinquir;FAVOR
Esa multitud gritando “pena de muerte” mientras da botes y saluda a cámara descojonándose me ha helado la sangre. No se,…;AGAINST
Legalizen la pena de muerte para los hijos de puta que arruinan a una familia en un segundo..;FAVOR
Si yo fuera presidente pondria la pena de muerte o la prision perpetua para los violadores de niños o pedofilos;FAVOR
Espero exista la pena de muerte en  Tennessee y que este par de desalmados pasen a responderle a Dios lo antes posible.;FAVOR
La pena de muerte se aplica en Venezuela, por hambre y por enfermedades sin medicina. Los presos mueren de hambre en la…;FAVOR
RT si estas ratas hdp se merecen la pena de muerte por matar al chofer de colectivo ;FAVOR
SEÑORA NADIE PIDE PENA DE MUERTE, LEASE EL CODIGO PENAL Y SABRA QUE ES…;AGAINST
RT si estas ratas hdp se merecen la pena de muerte por matar al chofer de colectivo ;FAVOR
PENA DE MUERTE a quienes autorizaron apoyar a ICA y perder dinero del fondo de Pensiones del ISSSTE. ;FAVOR
La cadena perpetua y la pena de muerte no son un debate, excepto que aún no hayas aprobado ética en la ESO o seas un fascista.;AGAINST
El motivo principal de su rechazo a la pena de muerte es:;AGAINST
Que no es racismo que en casos como este hay que aplicar la pena de muerte;AGAINST
Este país se está llenando de peligrosos antisistemas: pena de muerte, supresion de autonomías (regiones o estados);AGAINST
“Cómo uní a la gente y pedí que Guinea aboliera la pena de muerte” #11Abr Lee cómo este hecho demostró la importancia del poder popular. Fue la primera vez que tantas ONG se unían para hacer campaña sobre un tema;AGAINST
Mientras sigamos con la doctrina Zaffaroni y el ejecutivo no tenga huevos para promover pena de muerte y tolerancia 0 seguir…;FAVOR
Un dia te hacen una campaña provida contra el aborto y a la semana siguiente apoyan la pena de muerte. Que difícil es ser una…;AGAINST
#buenmartes Vos opinas RT los dos asesinos del chófer merecen la pena de muerte FV que le den unos años como ahora y salga 2…;FAVOR
Eso sería lo minimo por que para mi merese la pena de muerte inmediata;FAVOR
Gracias al amarillismo hay gente pidiendo la pena de muerte. Claro, lumbreras, pide la pena de muerte en un país en el que t…;AGAINST
Sería desastroso aprobar la pena de muerte, tendrían que fusilar un montón de políticos;AGAINST
RT SI CREES QUE DEBERÍA HABER PENA DE MUERTE POR CASOS COMO EL DE GABRIEL ??;FAVOR
PENA DE MUERTE PARA ESTA HDP;FAVOR
#PuntoDeVista “11 Legisladores han dado luz verde para llevar al Pleno de propuesta de pena de muerte, eso ya es número alto…;FAVOR
vas a implementar la pena de muerte en colombia;FAVOR
yo no estoy AGAINSTtra agravar penas, de pena muerte si, pero tu sabes lo mucho q se lee lo de q es solucion;AGAINST
Una mina mató al hijo de 3 añitos en Jujuy. Está mal pedir pena de muerte para este tipo de gente? Sirve en la sociedad? Si…;FAVOR
